company name,rating,reviews,salaries,interviews,job,benifits,photo
SBI Life Insurance Company,3.9,3.2k,10.2k,179,7,340,4
Optum,4.0,3.4k,26.8k,321,74,569,4
Ecom Express,4.0,3.2k,8.4k,160,34,336,13
Nagarjuna Construction Company,4.2,3.1k,10.5k,235,11,426,6
Dell,4.2,3.3k,27.1k,306,58,574,24
Bajaj Auto,3.9,3.2k,13.2k,218,--,566,21
KEC International,4.1,3.2k,11k,240,--,453,17
Future Group,4.3,2.9k,10.6k,70,3,430,3
Piramal Capital Housing Finance,4.3,3.1k,8.9k,147,11,271,18
Aditya Birla Fashion and Retail,4.2,3.1k,11.7k,146,41,433,11
Muthoot Fincorp,4.1,3.1k,8k,116,19,282,7
Royal Enfield,4.3,2.9k,13.2k,120,12,420,32
L&T Finance,4.0,3k,10.7k,111,--,272,19
Viatris,4.2,2.8k,13.9k,113,1,529,12
Tata Communications,4.1,2.9k,22.3k,209,256,444,11
Samvardhana Motherson Group,3.8,2.8k,13k,182,44,418,--
Intas Pharmaceuticals,4.2,2.9k,15.1k,164,37,411,9
LG Electronics,4.1,2.9k,9.9k,156,--,423,8
John Deere,4.3,2.9k,14.1k,178,1,437,11
Varun Beverages,4.1,2.9k,9.6k,180,74,332,15
Kogta Financial India Limited,4.8,3k,1.4k,69,8,51,25
Persistent Systems,3.8,3.1k,33.6k,421,21,413,18
Godrej & Boyce Manufacturing,4.0,2.8k,15.6k,146,51,432,3
Randstad,3.9,2.9k,13.6k,200,296,344,2
Thermax Limited,4.2,2.8k,11.8k,192,88,392,13
Hetero Drugs,3.9,2.7k,13.7k,165,30,343,3
Deutsche Bank,4.0,2.8k,31.6k,266,585,425,79
Macleods Pharmaceuticals,3.8,2.8k,14k,152,8,375,--
Havells,4.1,2.7k,12.1k,155,49,335,4
CARS24,3.7,2.9k,12.6k,244,139,431,11
Team Lease,4.0,2.8k,14.3k,164,23,228,2
Subros,4.0,2.7k,11.8k,131,1,424,7
Sodexo,4.1,2.6k,9.4k,128,1.4k,389,7
Abbott,4.2,2.7k,10.7k,123,175,390,8
VE Commercial Vehicles,4.1,2.7k,12.4k,161,16,379,5
Indian Oil Corporation,4.4,2.7k,7.5k,208,--,312,19
Whitehat jr,3.5,2.8k,9.7k,295,188,973,3
Ford Motor,4.5,2.6k,14k,108,105,403,11
Tata Capital,4.2,2.7k,10.3k,124,1k,110,23
Automatic Data Processing (ADP),4.1,2.7k,20.2k,173,38,480,12
Bharat Electronics,4.2,2.6k,11.3k,169,--,327,1
Cummins,4.4,2.7k,14.7k,182,59,482,11
ITC Infotech,3.8,2.9k,27.7k,256,432,312,8
Access Healthcare,4.0,2.7k,19k,160,125,290,37
R1 RCM,3.9,2.8k,16.9k,219,217,379,18
American Express,4.2,2.7k,21.2k,266,189,457,5
Alembic Pharmaceuticals,4.1,2.6k,13.8k,178,45,400,9
Pidilite Industries,4.4,2.6k,9.4k,154,31,373,1
Tata AIA Life Insurance,4.1,2.7k,11.9k,139,3,312,15
UnitedHealth,4.1,2.4k,20.6k,75,3,443,--
Hindalco Industries,4.3,2.6k,9.9k,169,6,352,6
Alkem Laboratories,4.0,2.5k,9.1k,124,23,349,--
Aakash Educational Services,3.6,2.7k,11.5k,231,76,221,9
Publicis Sapient,3.6,2.7k,27.6k,429,40,421,19
Atos,3.8,2.6k,27.4k,228,--,372,9
Utkarsh Small Finance Bank,3.9,2.6k,9k,175,38,273,19
DCB Bank,3.9,2.6k,8.7k,149,54,255,9
Hindustan Coca Cola Beverages,4.3,2.5k,7k,101,32,395,1
Indian Air Force,4.7,2.5k,4.9k,40,--,377,--
Vishal Mega Mart,3.9,2.5k,6.3k,130,11,274,7
Barclays,4.0,2.6k,24.1k,185,--,286,22
Berger Paints,3.8,2.6k,8.5k,218,82,292,5
Marpu Foundation,4.9,2.7k,20,30,--,101,2
Glenmark Pharmaceuticals,4.0,2.5k,11.2k,114,78,332,--
Ipca Laboratories,4.0,2.5k,10.9k,131,43,267,3
Jindal Steel and Power,4.0,2.4k,12.5k,237,25,339,11
Bank of America,4.4,2.5k,24.7k,181,--,438,--
Maersk,4.3,2.4k,16.6k,141,29,454,26
DTDC Express,3.8,2.4k,7.9k,116,50,272,2
24/7 Customer,3.6,2.5k,13.2k,163,22,443,10
Aarti Industries,4.2,2.5k,12.9k,242,38,386,2
ABB Group,4.1,2.4k,15.3k,160,3,364,7
Honda Motorcycle & Scooter,4.1,2.4k,10.7k,117,1,377,4
Wipro Infotech,4.0,2.3k,16.3k,147,--,302,--
Carelon Global Solutions,4.0,2.6k,23.4k,298,35,55,6
Johnson Controls,3.7,2.5k,14.8k,202,56,306,27
HDFC Ergo General Insurance,4.0,2.5k,9.9k,111,--,281,1
NatWest Group,4.0,2.4k,20.2k,148,7,386,7
PolicyBazaar,3.5,2.5k,13.1k,203,67,243,11
CMS IT Services,3.2,2.3k,10.4k,97,23,200,3
Cogent E Services,3.3,2.5k,8.4k,192,2,235,7
MRF Tyres,3.8,2.4k,11.1k,242,23,376,6
RBL Bank,3.8,2.4k,15.8k,143,33,224,5
Reliance Nippon Life Insurance,3.9,2.4k,8k,108,3,237,3
Paras Hospital,4.6,2.4k,2.7k,64,36,154,41
Reliance Digital,4.2,2.4k,7.4k,85,--,284,12
PNB MetLife,3.5,2.4k,7.9k,121,--,230,11
Jubilant Foods Works,3.9,2.4k,7.5k,127,49,188,9
Escorts Kubota Limited,4.1,2.4k,10.7k,168,--,278,17
GeBBS Healthcare Solutions,3.7,2.4k,10.5k,116,24,305,7
Wipro Consumer Care & Lighting,3.9,2.2k,3k,47,9,287,1
Ceat Tyres,4.1,2.4k,11.3k,129,6,367,5
Kotak Mahindara Life Insurance,3.9,2.4k,11.1k,173,110,273,--
Dabur,3.8,2.3k,7.7k,169,32,287,3
Axis Direct,3.9,2.1k,5.7k,67,17,228,--
JK Cement,4.2,2.3k,8.2k,193,--,263,3
Conduent,3.6,2.3k,18.5k,147,67,386,10
InterGlobe Aviation,3.6,2.3k,11.9k,309,57,323,4
Synechron,3.7,2.4k,26.8k,262,70,287,10
Shoppers Stop,4.1,2.2k,7.1k,87,8,332,8
Birlasoft,3.8,2.4k,27.7k,225,372,246,8
ACC,4.0,2.2k,9.5k,153,--,286,4
Lenskart,3.3,2.4k,9.4k,228,133,215,11
HARMAN,3.9,2.3k,24k,190,19,130,3
ArcelorMittal Nippon Steel,4.1,2.2k,9.3k,171,5,128,2
Reliance SMSL,4.0,2.3k,5.8k,135,--,286,4
GATI-KWE,4.0,2.2k,5.8k,81,15,296,5
Indiabulls Home Loans,3.9,2.1k,8.9k,87,4,122,2
KPIT Technologies,3.6,2.2k,20.1k,211,--,311,13
PepsiCo,4.2,2.1k,9.8k,147,179,269,5
UPL,4.2,2.2k,10.4k,141,28,326,2
S&P Global,4.2,2.2k,17.5k,183,24,241,--
Torrent Pharmaceuticals,4.0,2.1k,10.1k,98,28,337,3
Dilip Buildcon,4.1,2.1k,7.8k,113,8,299,14
RSPL Group,4.2,2.3k,8.4k,147,11,310,5
Tech Mahindra Business Services,3.5,2.3k,12.4k,241,1,337,2
Square Yards,3.8,2.3k,7.7k,170,600,284,35
Titan Company,4.4,2.2k,7.9k,107,25,356,14
TVS Credit,4.5,2.2k,6k,78,25,210,2
Wipro Enterprises Ltd,3.9,2.1k,6.4k,127,1,457,--
Tata AIG,4.1,2.2k,10.1k,116,56,250,6
EY Global Delivery Services ( EY GDS),3.7,2.4k,13.9k,438,--,170,16
IDFC FIRST Bharat,4.6,2.3k,3.8k,93,--,79,1
Aditya Birla Sun Life Insurance,4.2,2.1k,7.6k,94,4,221,23
Bajaj Electricals,4.1,2k,7.8k,109,25,305,9
Alstom Transportation,3.9,2.2k,11.6k,185,22,190,8
Statestreet HCL Services,3.3,2.2k,17.2k,188,--,220,--
IGT Solutions,3.4,2.2k,11k,162,121,245,14
Afcons Infrastructure,4.4,2.1k,7.3k,173,1,321,9
Apollo Tyres,4.1,2k,8.9k,104,14,345,5
Mankind Pharma,4.1,2.1k,7.9k,154,33,261,18
Simplex Infrastructures,3.3,1.8k,6.5k,57,--,293,--
Domino's Pizza,4.0,2.1k,4.4k,70,--,394,3
Suzlon Group,4.2,2k,7.4k,95,8,366,4
Capita,3.8,2.1k,14.1k,125,38,343,--
Zensar Technologies,3.8,2.1k,26k,190,22,276,24
Flex,4.1,2.1k,17.7k,138,11,457,1
State Street Corporation,3.8,2.1k,23k,160,10,282,10
Max Healthcare,4.1,2k,8.2k,95,109,255,17
KocharTech,4.1,2.1k,3.7k,58,75,607,6
Huawei Technologies,4.0,1.9k,10.8k,92,--,307,1
Bajaj Allianz General Insurance,4.0,2.1k,8.7k,74,11,247,2
Tata Technologies,3.8,2.1k,19.7k,193,133,335,10
Croma,4.1,2.1k,7k,88,30,196,4
I Process Services,3.9,2k,5.2k,73,10,133,1
McDonald's,4.2,2k,4.7k,100,2,424,2
Taj Hotels Resorts and Palaces,4.2,1.9k,5.2k,89,36,182,3
Grasim Industries,4.1,2.1k,9.1k,162,1,262,5
HDFC Sales,4.1,2k,7.8k,133,37,200,--
Nestle,4.1,2k,8.7k,198,51,334,9
ElasticRun,3.4,2.1k,6.2k,223,14,235,14
UNO Minda,4.1,2k,8.6k,124,6,278,3
Landmark Group,4.1,2k,8.7k,105,39,282,7
Walmart,4.0,2k,16.9k,268,288,366,2
AGS Health,4.0,2k,9.6k,123,19,289,9
Lava International,4.1,1.9k,4.7k,54,2,313,1
Nokia,4.2,2k,18.5k,209,438,550,14
Blue Dart Express,4.1,2k,6.1k,86,--,240,2
Patanjali Ayurved,4.1,1.9k,6.8k,88,1,263,2
Tractors and Farm Equipment,4.1,1.9k,8.2k,86,27,291,4
G4S,4.1,1.9k,4.7k,75,26,242,10
Fortis Healthcare,4.1,1.8k,6.9k,106,1k,146,1
Capgemini Engineering,3.6,2k,20k,252,160,160,3
Societe Generale Global Solution Centre,3.9,2k,19.9k,185,108,313,--
State Street Syntel,3.7,1.9k,10.8k,63,--,289,--
BlackBuck,3.9,2k,6k,138,40,251,12
TVS Supply Chain Solutions,4.0,1.9k,8k,101,10,202,12
Britannia,4.1,1.9k,7.2k,130,6,259,5
Micro Labs,3.7,1.9k,9k,94,8,220,2
Fiserv,3.6,2k,18.5k,120,17,338,11
KFintech,3.7,1.9k,9.6k,102,15,54,1
Voltas,4.1,1.8k,7.7k,96,1,265,1
Sterlite Technologies,3.8,1.9k,10.2k,138,108,224,8
Shree Cement,4.0,1.8k,8.5k,126,--,232,10
Kyndryl,4.1,2k,17.7k,108,9,182,24
Exide Industries,3.6,1.9k,7.3k,134,96,253,4
Ola Cabs,3.5,1.8k,10.6k,118,18,247,10
Yazaki,3.9,1.8k,7.5k,102,3,268,1
Radisson Hotels,4.1,1.7k,5.6k,52,9,318,7
Dalmia Bharat Cement,4.1,1.8k,7.6k,119,4,241,11
Himalaya Wellness,4.2,1.8k,5.9k,75,18,273,7
Quest Global,3.7,1.9k,17.8k,206,118,210,--
Lifestyle,4.4,1.8k,6.8k,57,4,290,3
IKS Health,3.6,1.9k,9k,166,33,243,--
Eureka Forbes,3.9,1.7k,5.6k,56,3,235,1
Ajanta Pharma,4.1,1.8k,8.1k,92,20,221,6
Blue Star,4.1,1.8k,8.5k,118,16,250,18
ACT Fibernet,4.0,1.8k,6.9k,100,35,259,11
Motilal Oswal Financial Services,3.8,1.9k,9.1k,153,103,185,51
XpressBees,3.8,1.9k,6.9k,124,53,184,7
Aditya Birla Group,4.1,1.7k,10.2k,147,1,255,3
Extramarks Education,3.5,1.8k,8.6k,152,98,156,2
Sonalika Tractors,3.8,1.7k,7.9k,105,1,190,1
DS Group,4.1,1.8k,6k,100,42,224,4
Nokia Networks,4.3,1.7k,8.2k,95,41,24,--
Life Insurance Corporation of India,4.4,1.7k,4.2k,62,5,245,6
Mahindra Rural Housing Finance,4.1,1.8k,4.7k,68,34,184,2
Cholamandalam MS General Insurance,3.9,1.8k,5.4k,71,1,168,4
Zomato,3.8,1.8k,12k,224,17,227,12
Mahindra Logistics,4.1,1.8k,8.1k,99,3,226,8
Delhi Public School,3.9,1.7k,5.3k,98,134,270,4
Indus Towers,4.0,1.8k,7.1k,136,53,213,9
PVR Cinemas,4.1,1.7k,5.7k,76,26,251,--
Future Retail,4.3,1.6k,5.9k,47,--,260,--
JMC Projects,4.2,1.7k,5.5k,85,1,266,3
Ninjacart,4.1,1.8k,5.7k,84,16,148,23
Emcure Pharmaceuticals,3.8,1.7k,8k,90,25,247,11
Rivigo,3.9,1.6k,6.9k,68,5,242,9
SRF,4.3,1.7k,7.5k,133,31,279,1
Myntra,4.0,1.7k,9k,146,50,322,14
V-Mart,4.2,1.8k,4k,107,38,218,3
Kalpataru Power Transmission,4.2,1.7k,6.4k,100,2,210,8
Parle Agro,3.1,5,6.1k,84,5,225,--
Datamatics Global Services,3.6,1.7k,11.1k,122,59,194,5
Movate,3.4,1.7k,13.2k,207,72,20,3
Kansai Nerolac Paints,3.9,1.7k,6.4k,114,76,200,2
Renault-Nissan,4.1,1.6k,7.7k,70,--,277,9
Pfizer,4.1,1.6k,5.7k,56,14,286,6
Tata Teleservices,4.1,1.5k,4.4k,27,6,263,3
Fujitsu,3.9,1.7k,15k,135,116,202,13
Mahindra Holidays & Resorts,3.6,1.6k,5.8k,79,156,208,16
VVDN Technologies,3.7,1.8k,10.1k,136,24,147,12
Indian Railways,4.2,1.6k,3.2k,75,--,170,15
MSN Laboratories,3.8,1.7k,7.2k,85,37,184,7
3i Infotech,3.6,1.6k,10.5k,107,76,160,1
BHEL,4.2,1.5k,5k,89,--,222,8
KPMG Global Services,3.7,1.8k,4.8k,145,--,24,--
Raymond,4.1,1.6k,6.8k,75,2,242,1
ICICI Securities,3.8,1.6k,8.5k,115,17,193,3
Reliance Trends,4.4,1.6k,4.3k,90,--,225,3
Blinkit,3.9,1.6k,8k,125,6,210,14
Cybage,3.9,1.7k,17k,146,43,297,4
Ambuja Cements,4.0,1.6k,5.8k,86,--,217,5
JCB,4.0,1.6k,8.4k,98,--,256,3
Cadila Pharmaceuticals,3.6,1.6k,6.9k,88,5,187,13
suzuki motor gujarat,4.3,1.7k,6.3k,128,14,202,1
Info Edge,4.0,1.7k,10.2k,228,378,311,17
Shell,4.3,1.7k,12.5k,152,11,270,7
GlaxoSmithKline Pharmaceuticals,4.2,1.6k,5k,82,48,127,1
Foundever,3.8,1.6k,6.3k,94,217,224,13
Poonawalla Fincorp,3.9,1.5k,4.9k,40,29,135,--
ZS,3.4,1.7k,16.2k,298,42,292,18
PhonePe,4.1,1.7k,8.7k,179,157,193,4
Whirlpool,4.1,1.6k,7.5k,66,12,212,9
Bharat Petroleum,4.2,1.5k,6.3k,123,--,197,6
Tata Elxsi,4.0,1.6k,16.5k,220,59,217,5
Jindal Stainless,4.3,1.6k,8.7k,130,2,206,10
Endurance Technologies,3.9,1.5k,7.1k,77,7,245,--
NoBroker,3.2,1.7k,8k,170,318,364,7
Force Motors,3.6,1.5k,7.6k,98,--,173,4
ITC Hotels,4.2,1.5k,5.3k,67,--,202,4
Fincare Small Finance Bank,4.1,1.6k,6.1k,82,3,151,4
Shahi Exports,4.1,1.5k,6.7k,86,32,242,22
Syngene International,3.9,1.6k,10.9k,128,23,239,6
GVK Emergency Management and Research Institute,3.7,1.5k,4.2k,69,24,189,--
Delphi TVS,4.1,1.5k,5.4k,68,5,207,--
Bharti AXA Life Insurance,3.9,1.5k,5k,100,1,176,1
Kalyan Jewellers,4.7,1.6k,1.3k,43,20,59,2
Sobha,4.0,1.5k,7.6k,87,21,219,--
Care Health Insurance,3.8,1.6k,7.4k,93,43,177,1
Brakes India,4.1,1.5k,6.4k,60,2,210,2
Lodha group,4.1,1.5k,7.5k,97,90,202,7
Aavas Financiers,4.0,1.6k,5.4k,73,77,138,4
HCL Infosystems,4.1,1.4k,9.2k,131,1,234,--
Citicorp,3.7,1.7k,20.3k,216,2,280,6
Sterling & Wilson,4.1,1.4k,7.7k,52,23,212,4
Dhani Loans and Services,3.9,1.6k,5.2k,64,6,50,1
Bureau Veritas,4.0,1.5k,7.2k,83,24,183,13
CAMS,3.7,1.5k,7k,87,20,60,6
Sopra Steria,4.0,1.5k,13.5k,89,37,266,6
KENT RO Systems,4.1,1.5k,4.5k,65,3,118,19
Gallagher,3.9,1.6k,10.5k,160,65,129,1
Unacademy,3.3,1.6k,9k,157,48,165,35
Varroc Group,3.8,1.5k,6.3k,110,222,154,4
Coromandel International,4.2,1.5k,6.6k,77,5,230,--
Future Generali India Life Insurance,3.8,1.5k,6.5k,73,118,167,2
Canara HSBC Life Insurance,3.7,1.5k,5.9k,73,29,174,2
Allsec Technologies,4.0,1.5k,6.3k,90,16,135,26
Cisco,4.3,1.5k,18.1k,275,--,242,15
